"directive","input_text","output_text"
"pluralize","cat","cats"
"pluralize","dog","dogs"
"pluralize","apple","apples"
"pluralize","book","books"
"pluralize","pen","pens"
"pluralize","box","boxes"
"pluralize","shoe","shoes"
"pluralize","child","children"
"pluralize","man","men"
"pluralize","woman","women"
"pluralize","city","cities"
"pluralize","tomato","tomatoes"
"pluralize","hero","heroes"
"pluralize","potato","potatoes"
"pluralize","leaf","leaves"
"pluralize","baby","babies"
"pluralize","berry","berries"
"pluralize","knife","knives"
"pluralize","loaf","loaves"
"pluralize","mouse","mice"
"pluralize","foot","feet"
"pluralize","tooth","teeth"
"pluralize","cactus","cacti"
"pluralize","barracks","barracks"
"pluralize","bus","buses"
"pluralize","fish","fish"
"pluralize","wolf","wolves"
"pluralize","calf","calves"
"pluralize","half","halves"
"pluralize","person","people"
"pluralize","child","children"
"pluralize","ox","oxen"
"pluralize","woman","women"
"pluralize","man","men"
"pluralize","church","churches"
"pluralize","tax","taxes"
"pluralize","box","boxes"
"pluralize","fish","fish"
"pluralize","deer","deer"
"pluralize","octopus","octopuses"
"pluralize","crisis","crises"
"pluralize","analysis","analyses"
"pluralize","thesis","theses"
"pluralize","focus","foci"
"pluralize","axis","axes"
"pluralize","dog","dogs"
"pluralize","child of Dave","children of Dave"
"pluralize","book on the table","books on the table"
"pluralize","box of cookies","boxes of cookies"
"pluralize","cup of coffee","cups of coffee"
"pluralize","person in the room","people in the room"
"pluralize","cup of shiny gray water with green flakes","cups of shiny gray water with green flakes"
"pluralize","child of Sarah and Tim","children of Sarah and Tim"
"pluralize","city in the valley","cities in the valley"
"pluralize","star in the sky","stars in the sky"
"pluralize","half of the sandwich","halves of the sandwich"
"pluralize","player with the ball","players with the ball"
"pluralize","cookie with chocolate chips","cookies with chocolate chips"
"pluralize","fly in the room","flies in the room"
"pluralize","box of colorful pencils","boxes of colorful pencils"
"pluralize","teacher in the classroom","teachers in the classroom"
"pluralize","idea in his mind","ideas in his mind"
"pluralize","child on the playground","children on the playground"
"pluralize","bottle of green juice","bottles of green juice"
"pluralize","pair of shoes","pairs of shoes"
"pluralize","fish in the tank","fish in the tanks"
"pluralize","sandwich with turkey","sandwiches with turkey"
"pluralize","movie on the screen","movies on the screen"
"pluralize","student in the class","students in the class"
"pluralize","picture on the wall","pictures on the wall"
"pluralize","cup of hot chocolate","cups of hot chocolate"
"pluralize","leaf on the ground","leaves on the ground"
"pluralize","bird in the tree","birds in the tree"
