directive,input_text,output_text
pluralize,cat,cats
pluralize,dog,dogs
pluralize,apple,apples
pluralize,book,books
pluralize,pen,pens
pluralize,box,boxes
pluralize,shoe,shoes
pluralize,child,children
pluralize,man,men
pluralize,woman,women
pluralize,city,cities
pluralize,tomato,tomatoes
pluralize,hero,heroes
pluralize,potato,potatoes
pluralize,leaf,leaves
pluralize,baby,babies
pluralize,berry,berries
pluralize,knife,knives
pluralize,loaf,loaves
pluralize,mouse,mice
pluralize,foot,feet
pluralize,tooth,teeth
pluralize,cactus,cacti
pluralize,barracks,barracks
pluralize,bus,buses
pluralize,fish,fish
pluralize,wolf,wolves
pluralize,calf,calves
pluralize,half,halves
pluralize,person,people
pluralize,child,children
pluralize,ox,oxen
pluralize,woman,women
pluralize,man,men
pluralize,church,churches
pluralize,tax,taxes
pluralize,box,boxes
pluralize,fish,fish
pluralize,deer,deer
pluralize,octopus,octopuses
pluralize,crisis,crises
pluralize,analysis,analyses
pluralize,thesis,theses
pluralize,focus,foci
pluralize,axis,axes
pluralize,dog,dogs
pluralize,raincoat,raincoats
pluralize,toothbrush,toothbrushes
pluralize,sunflower,sunflowers
pluralize,bookcase,bookcases
pluralize,notebook,notebooks
pluralize,cupcake,cupcakes
pluralize,backpack,backpacks
pluralize,firefighter,firefighters
pluralize,handshake,handshakes
pluralize,laptop,laptops
pluralize,waterfall,waterfalls
pluralize,flashlight,flashlights
pluralize,mountaintop,mountaintops
pluralize,paperclip,paperclips
pluralize,masterpiece,masterpieces
pluralize,rainbow,rainbows
pluralize,teardrop,teardrops
pluralize,doorknob,doorknobs
pluralize,sunbeam,sunbeams
pluralize,playground,playgrounds
pluralize,nightstand,nightstands
pluralize,earring,earrings
pluralize,passport,passports
pluralize,workbench,workbenches
pluralize,mailbox,mailboxes
pluralize,shoelace,shoelaces
pluralize,lightbulb,lightbulbs
pluralize,flowerpot,flowerpots
pluralize,snowflake,snowflakes
pluralize,beehive,beehives
pluralize,glacier,glaciers
pluralize,volcano,volcanoes
pluralize,raindrop,raindrops
pluralize,treetop,treetops
pluralize,shoebox,shoeboxes
pluralize,watchtower,watchtowers
pluralize,moonbeam,moonbeams
pluralize,windowpane,windowpanes
pluralize,riverbank,riverbanks
pluralize,streetlight,streetlights
pluralize,iceberg,icebergs
pluralize,pinecone,pinecones
pluralize,seashell,seashells
pluralize,rainforest,rainforests
pluralize,lakefront,lakefronts
pluralize,sandcastle,sandcastles
pluralize,beachcomber,beachcombers
pluralize,driftwood,driftwood
pluralize,treehouse,treehouses
pluralize,birdsong,birdsongs
pluralize,riverbend,riverbends
pluralize,pebble,pebbles
pluralize,paperclip,paperclips
