directive,input_text,output_text
singularize,skies,sky
pluralize,sky,skies
singularize,loaves,loaf
pluralize,loaf,loaves
singularize,appendices,appendix
pluralize,appendix,appendices
singularize,theses,thesis
pluralize,thesis,theses
singularize,indices,index
pluralize,index,indices
singularize,matchboxes,matchbox
pluralize,matchbox,matchboxes
singularize,flies,fly
pluralize,fly,flies
singularize,leaves,leaf
pluralize,leaf,leaves
singularize,workplaces,workplace
pluralize,workplace,workplaces
singularize,bookcases,bookcase
pluralize,bookcase,bookcases
singularize,toothbrushes,toothbrush
pluralize,toothbrush,toothbrushes
singularize,staircases,staircase
pluralize,staircase,staircases
singularize,fireplaces,fireplace
pluralize,fireplace,fireplaces
singularize,moviegoers,moviegoer
pluralize,moviegoer,moviegoers
singularize,notebooks,notebook
pluralize,notebook,notebooks
singularize,matchboxes,matchbox
pluralize,matchbox,matchboxes
singularize,crosswalks,crosswalk
pluralize,crosswalk,crosswalks
singularize,handkerchiefs,handkerchief
pluralize,handkerchief,handkerchiefs
singularize,sunflowers,sunflower
pluralize,sunflower,sunflowers
singularize,lighthouses,lighthouse
pluralize,lighthouse,lighthouses
singularize,backyards,backyard
pluralize,backyard,backyards
singularize,bathrooms,bathroom
pluralize,bathroom,bathrooms
singularize,sandboxes,sandbox
pluralize,sandbox,sandboxes
singularize,snowflakes,snowflake
pluralize,snowflake,snowflakes
singularize,stomachs,stomach
pluralize,stomach,stomachs
singularize,headphones,headphone
pluralize,headphone,headphones
singularize,doorknobs,doorknob
pluralize,doorknob,doorknobs
singularize,windmills,windmill
pluralize,windmill,windmills
singularize,doorbells,doorbell
pluralize,doorbell,doorbells
singularize,televisions,television
pluralize,television,televisions
singularize,cardboards,cardboard
pluralize,cardboard,cardboards
singularize,couches,couch
pluralize,couch,couches
singularize,drumsticks,drumstick
pluralize,drumstick,drumsticks
singularize,spoons,spoon
pluralize,spoon,spoons
singularize,cups,cup
pluralize,cup,cups
singularize,pens,pen
pluralize,pen,pens
singularize,lightbulbs,lightbulb
pluralize,lightbulb,lightbulbs
singularize,desks,desk
pluralize,desk,desks
singularize,clipboards,clipboard
pluralize,clipboard,clipboards
singularize,sneakers,sneaker
pluralize,sneaker,sneakers
singularize,footballs,football
pluralize,football,footballs
singularize,keyboards,keyboard
pluralize,keyboard,keyboards
singularize,laptops,laptop
pluralize,laptop,laptops
singularize,scissors,scissors
pluralize,scissors,scissors
singularize,backpacks,backpack
pluralize,backpack,backpacks
singularize,icebergs,iceberg
pluralize,iceberg,icebergs
singularize,motorcycles,motorcycle
pluralize,motorcycle,motorcycles
singularize,submarines,submarine
pluralize,submarine,submarines
singularize,helicopters,helicopter
pluralize,helicopter,helicopters
singularize,satellites,satellite
pluralize,satellite,satellites
singularize,telescopes,telescope
pluralize,telescope,telescopes
singularize,gloves,glove
pluralize,glove,gloves
singularize,mittens,mitten
pluralize,mitten,mittens
singularize,shovels,shovel
pluralize,shovel,shovels
singularize,ladders,ladder
pluralize,ladder,ladders
singularize,garages,garage
pluralize,garage,garages
