directive,input_text,output_text

pluralize,medicine that turns people to stone,medicine that turns people to stone  
singularize,medicine that turns people to stone,medicine that turns people to stone  

pluralize,zebra vacuum sealed in plastic against its will,zebra vacuums sealed in plastic against their will  
singularize,zebra vacuums sealed in plastic against their will,zebra vacuum sealed in plastic against its will  

pluralize,iphone charger suspended in amber,iphone chargers suspended in amber  
singularize,iphone chargers suspended in amber,iphone charger suspended in amber  

pluralize,book with a title that is a little gay,books with titles that are a little gay  
singularize,books with titles that are a little gay,book with a title that is a little gay  

pluralize,poster for mastodon's 2006 tour,posters for mastodon's 2006 tour  
singularize,posters for mastodon's 2006 tour,poster for mastodon's 2006 tour  

pluralize,DK Metcalf jersey in original green,DK Metcalf jerseys in original green  
singularize,DK Metcalf jerseys in original green,DK Metcalf jersey in original green  

pluralize,riddle from a stupid sphinx,riddles from a stupid sphinx  
singularize,riddles from a stupid sphinx,riddle from a stupid sphinx  

pluralize,nintendo switch with dust in the cartridge slot,nintendo switches with dust in the cartridge slot
singularize,nintendo switches with dust in the cartridge slots,nintendo switch with dust in the cartridge slot  

pluralize,airpods that only play 'roxanne' by the police,airpods that only play 'roxanne' by the police  
singularize,airpods that only play 'roxanne' by the police,airpods that only play 'roxanne' by the police  

pluralize,blanket that gives you amnesia,blankets that give you amnesia  
singularize,blankets that give you amnesia,blanket that gives you amnesia  

pluralize,spoil-me-rotten gold tooth collection,spoil-me-rotten gold tooth collections  
singularize,spoil-me-rotten gold tooth collections,spoil-me-rotten gold tooth collection  

pluralize,patrick star hat,patrick star hats  
singularize,patrick star hats,patrick star hat  

pluralize,vacuum that looks kinda like richard nixon,vacuums that look kinda like richard nixon  
singularize,vacuums that look kinda like richard nixon,vacuum that looks kinda like richard nixon  

pluralize,giraffe that sorta reminds you of your mom,giraffes that sorta remind you of your mom  
singularize,giraffes that sorta remind you of your mom,giraffe that sorta reminds you of your mom  

pluralize,snake eating its own tail,snakes eating their own tails  
singularize,snakes eating their own tails,snake eating its own tail  

pluralize,gun set to ‘kill’,guns set to ‘kill’  
singularize,guns set to ‘kill’,gun set to ‘kill’  

pluralize,extra-super-pointy weathervane,extra-super-pointy weathervanes  
singularize,extra-super-pointy weathervanes,extra-super-pointy weathervane  

pluralize,run the jewels mixtape,run the jewels mixtapes  
singularize,run the jewels mixtapes,run the jewels mixtape  

pluralize,consort that is way too sexy for its own good,consorts that are way too sexy for their own good  
singularize,consorts that are way too sexy for their own good,consort that is way too sexy for its own good  

pluralize,deer with the head of a bison,deer with the head of bison  
singularize,deer with the head of bison,deer with the head of a bison  

pluralize,wallet full of slime,wallets full of slime  
singularize,wallets full of slime,wallet full of slime  

pluralize,forgotten aesop’s fable about a cat that can drive,forgotten aesop’s fables about a cat that can drive
singularize,forgotten aesop’s fables about a cat that can drive,forgotten aesop’s fable about a cat that can drive  

pluralize,yoga ball like your weird coworker sits on,yoga balls like your weird coworker sits on  
singularize,yoga balls like your weird coworker sits on,yoga ball like your weird coworker sits on  

pluralize,surprisingly tasteful severed dick in jar,surprisingly tasteful severed dicks in a jar 
singularize,surprisingly tasteful severed dicks in jars,surprisingly tasteful severed dick in a jar  

pluralize,angry bee buzzing your name,angry bees buzzing your name  
singularize,angry bees buzzing your name,angry bee buzzing your name  

pluralize,edible that your friend says is ‘cool’,edibles that your friend says are ‘cool’  
singularize,edibles that your friend says are ‘cool’,edible that your friend says is ‘cool’  

pluralize,copy of jack black's unfinished novel about ants,copies of jack black's unfinished novels about ants  
